,Unnamed: 0,SYMPTOM INPUTS,QUESTIONS ASKED,OPTIONS GIVEN
0,0.0,Abdominal pain,Abdominal pain: when did it start?  ,Abdominal pain:Abdominal pain
1,1.0,Abdominal pain,Abdominal pain: select the area you feel pain using diagram,Abdominal pain:today
2,2.0,Abdominal pain,Abdominal pain: select the area you feel pain using diagram,Abdominal pain: in the last week
3,3.0,Abdominal pain,Abdominal pain: select the area you feel pain using diagram,Abdominal pain: in last month
4,4.0,Abdominal pain,Abdominal pain: select the area you feel pain using diagram,Abdominal pain: 1-3 month ago
5,5.0,Abdominal pain,Abdominal pain: select the area you feel pain using diagram,Abdominal pain: over 3 months ago
6,6.0,Abdominal pain,Abdominal pain: select the area you feel pain using diagram,Abdominal pain: year ago
7,7.0,Abdominal pain,Abdominal pain: which side is bothering you?,Abdominal pain: point at diagram
8,8.0,Abdominal pain,Abdominal pain: what makes it worse?,Abdominal pain: right
9,9.0,Abdominal pain,Abdominal pain: what makes it worse?,Abdominal pain: left
10,10.0,Abdominal pain,Abdominal pain: what makes it worse?,Abdominal pain: both sides
11,11.0,Abdominal pain,Abdominal pain: what makes it worse?,Abdominal pain: i am not sure
12,12.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: changing position
13,13.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: cough
14,14.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: eating
15,15.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: deep breathing
16,16.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain:  exposure to cold
17,17.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: going to bathroom
18,18.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: hunger
19,19.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: lying down
20,20.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: physical activity
21,21.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain:pressing on area
22,22.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: sitting down
23,23.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: standing
24,24.0,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,Abdominal pain: walking
25,25.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: dairy intake
26,26.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: eating suspect food
27,27.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: going to bathroom
28,28.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: intercourse
29,29.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: possible food allergy
30,30.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: recent childbirth
31,31.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: recent surgery
32,32.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: recent injury
33,33.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: eating gluten
34,34.0,Abdominal pain,Abdominal pain: how uncomfortable do you feel?,Abdominal pain: none of above
35,35.0,Abdominal pain,Abdominal pain: do any of these describe it?,Abdominal pain: fairly mild
36,36.0,Abdominal pain,Abdominal pain: do any of these describe it?,Abdominal pain: intense
37,37.0,Abdominal pain,Abdominal pain: do any of these describe it?,Abdominal pain: wakes me at night
38,38.0,Abdominal pain,Abdominal pain: do any of these describe it?,Abdominal pain: not sure
39,39.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain:  beltlike
40,40.0,Abdominal pain,Abdominal pain: do any of these relieve your pain?,Abdominal pain: burning
