,SYMPTOM INPUTS,QUESTIONS ASKED,OPTIONS GIVEN
0,Abdominal pain,Abdominal pain: when did it start?  ,Abdominal pain
1,Abdominal pain,Abdominal pain: select the area you feel pain using diagram,today
2,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, in the last week
3,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, in last month
4,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, 1-3 month ago
5,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, over 3 months ago
6,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, year ago
7,Abdominal pain,Abdominal pain: which side is bothering you?, point at diagram
8,Abdominal pain,Abdominal pain: what makes it worse?, right
9,Abdominal pain,Abdominal pain: what makes it worse?, left
10,Abdominal pain,Abdominal pain: what makes it worse?, both sides
11,Abdominal pain,Abdominal pain: what makes it worse?, i am not sure
12,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, changing position
13,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, cough
14,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, eating
15,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, deep breathing
16,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,  exposure to cold
17,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, going to bathroom
18,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, hunger
19,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, lying down
20,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, physical activity
21,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,pressing on area
22,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, sitting down
23,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, standing
24,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, walking
25,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, dairy intake
26,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, eating suspect food
27,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, going to bathroom
28,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, intercourse
29,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, possible food allergy
30,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, recent childbirth
31,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, recent surgery
32,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, recent injury
33,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, eating gluten
34,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, none of above
35,Abdominal pain,Abdominal pain: do any of these describe it?, fairly mild
36,Abdominal pain,Abdominal pain: do any of these describe it?, intense
37,Abdominal pain,Abdominal pain: do any of these describe it?, wakes me at night
38,Abdominal pain,Abdominal pain: do any of these describe it?, not sure
39,Abdominal pain,Abdominal pain: do any of these relieve your pain?,  beltlike
40,Abdominal pain,Abdominal pain: do any of these relieve your pain?, burning
41,Abdominal pain,Abdominal pain: do any of these relieve your pain?, colicky
42,Abdominal pain,Abdominal pain: do any of these relieve your pain?, crampy
43,Abdominal pain,Abdominal pain: do any of these relieve your pain?, pinpoint
44,Abdominal pain,Abdominal pain: do any of these relieve your pain?, sharp
45,Abdominal pain,Abdominal pain: do any of these relieve your pain?, stabbing
46,Abdominal pain,Abdominal pain: do any of these relieve your pain?, vague
47,Abdominal pain,Abdominal pain: do any of these relieve your pain?, none of these 
48,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, drinking fluids
49,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, eating
50,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, eliminating dairy product
51,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, going to bathroom
52,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, lying down
53,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, resting
54,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, stretching
55,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, none of these
56,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, chest
57,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, back
58,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, groin
59,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, legs
60,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, thigh
61,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, none of these
62,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?, suddenly
63,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?, gradually
64,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?, not sure
65,Abdominal pain,Abdominal pain: Are your stools loose or watery?, yes
66,Abdominal pain,Abdominal pain: Are your stools loose or watery?, no
67,Abdominal pain,Abdominal pain: How constipated are you?, yes
68,Abdominal pain,Abdominal pain: How constipated are you?, no
69,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?,  mild
70,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?, severe
71,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?, not sure
72,Abdominal pain,Abdominal pain: Do you have abdominal surgery in past?, yes
73,Abdominal pain,Abdominal pain: Do you have abdominal surgery in past?, no
74,Abdominal pain,Abdominal pain: are you more gassy than usual?, yes
75,Abdominal pain,Abdominal pain: are you more gassy than usual?, no
76,Abdominal pain,"Abdominal pain: does you abdomen feels bloated, swollen or large than usual?", yes
77,Abdominal pain,"Abdominal pain: does you abdomen feels bloated, swollen or large than usual?", no
78,Abdominal pain,Abdominal pain: have you been diagnosed with type  diabetes?, yes
79,Abdominal pain,Abdominal pain: have you been diagnosed with type  diabetes?, no
,,,
,,,
,,,
,,,
,,,
85,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms), decreased apetite
86,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms), blood in stool
87,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms), vomiting
88,Abdominal redness,Abdominal redness: when did it start?  ,Abdominal redness
89,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, Today
90,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, in the last week
91,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, in last month
92,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, 1-3 month ago
93,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, over 3 months ago
94,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, year ago
95,Abdominal redness,Abdominal redness: Do have pain or discomfort in your abdomen?, yes
96,Abdominal redness,Abdominal redness: Do have pain or discomfort in your abdomen?, no
97,Abdominal redness,Abdominal redness: Select the area where you feel pain in the diagram, yes
98,Abdominal redness,Abdominal redness: Select the area where you feel pain in the diagram, no
99,Abdominal redness,Abdominal redness: which side is bothering you?, point at diagram
100,Abdominal redness,Abdominal redness: What makes it worse?  ,  right
101,Abdominal redness,Abdominal redness: What makes it worse?  , left
102,Abdominal redness,Abdominal redness: What makes it worse?  , both sides
103,Abdominal redness,Abdominal redness: What makes it worse?  , i am not sure
104,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, changing position
105,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, cough
106,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, eating
107,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, deep breathing
108,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, 
109,Abdominal redness,Abdominal redness: do you think any of these triggers pain?,   exposure to cold
110,Abdominal redness,Abdominal redness: do you think any of these triggers pain?, going to bathroom
111,Abdominal redness,Abdominal redness: do you think any of these triggers pain?, hunger
112,Abdominal redness,Abdominal redness: do you think any of these triggers pain?, lying down
114,Abdominal redness,Abdominal redness: Are your stools loose or watery?,   physical activity
115,Abdominal redness,Abdominal redness: Are your stools loose or watery?,pressing on area
116,Abdominal redness,Abdominal redness: Are your stools loose or watery?, sitting down
117,Abdominal redness,Abdominal redness: Are your stools loose or watery?, standing
119,Abdominal redness,Abdominal redness: do any of these describe your diarrhea?,   walking
120,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?, fairly mild
121,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?, intense
122,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?, wakes me at night
123,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?, not sure
124,Abdominal redness,Abdominal redness: Are you constipated?, dairy intake
125,Abdominal redness,Abdominal redness: Are you constipated?, eating suspect food
126,Abdominal redness,Abdominal redness: Are you constipated?, going to bathroom
127,Abdominal redness,Abdominal redness: Are you constipated?, 
128,Abdominal redness,Abdominal redness: Burning or painful urination?,   intercourse
129,Abdominal redness,Abdominal redness: Burning or painful urination?, possible food allergy
130,Abdominal redness,Abdominal redness: Burning or painful urination?, recent childbirth
131,Abdominal redness,Abdominal redness: Burning or painful urination?, 
132,Abdominal redness,Abdominal redness: how severe would you say it is?,   recent surgery
133,Abdominal redness,Abdominal redness: how severe would you say it is?, recent injury
134,Abdominal redness,Abdominal redness: how severe would you say it is?, eating gluten
135,Abdominal redness,Abdominal redness: how severe would you say it is?, none of above
136,Abdominal redness,"Abdominal redness: is it getting better, worse, or staying the same?", yes 
137,Abdominal redness,"Abdominal redness: is it getting better, worse, or staying the same?", no
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
153,Abdominal redness,Abdominal redness: Do you smoke?, yes
154,Abdominal redness,Abdominal redness: Do you smoke?, no
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
166,Abdominal redness,Abdominal redness:, teary or watery eyes
167,Abdominal redness,Abdominal redness:, fever
168,Abdominal redness,Abdominal redness:, runny nose
169,Abdominal redness,Abdominal redness:, none of these
170,Abdominal redness,Abdominal redness:, groin pain
171,Abdominal redness,Abdominal redness:, groin swelling
172,Abdominal redness,Abdominal redness:, vomoting
173,Abdominal redness,Abdominal redness:, none of these
174,Abdominal redness,Abdominal redness:, Abdominal swelling
175,Abdominal redness,Abdominal redness:, nausea
176,Abdominal redness,Abdominal redness:, none of above
177,Abdominal redness,Abdominal redness:, yes
178,Abdominal redness,Abdominal redness:, no
179,Abdominal redness,Abdominal redness:, i used to but i quit
180,Abdominal redness,Abdominal redness:,  leg redness
181,Abdominal redness,Abdominal redness:, skin lesions
182,Abdominal redness,Abdominal redness:, foot swelling
183,Abdominal redness,Abdominal redness:, none of these
184,Abdominal redness,Abdominal redness:,  warm skin
185,Abdominal redness,Abdominal redness:, insect bite
186,Abdominal redness,Abdominal redness:, calf swelling
187,Abdominal redness,Abdominal redness:, none of these
188,Abdominal redness,Abdominal redness:, 
231,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/", Mild
232,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/", severe
233,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/", I am not sure
352,Abdominal swelling ,Abdominal swelling :, 
385,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?", improving
386,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?", worsening
387,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?", it's about the same
388,Abnormal sweating,"Abnormal sweating: do you have pain, pressure or discomfort in your chest?", i am not sure
389,Abnormal sweating,"Abnormal sweating: are you feeling anxious, worried or fearful in a way that impacts your daily activities?", Yes
390,Abnormal sweating,"Abnormal sweating: are you feeling anxious, worried or fearful in a way that impacts your daily activities?", no
434,Abnormal sweating,"Abnormal sweating: does your heart race, flutter or skip beats while you're at rest?", yes
435,Abnormal sweating,"Abnormal sweating: does your heart race, flutter or skip beats while you're at rest?", no
496,Acne,Acne: when did it start?,Acne
497,Acne,Acne: where is your acne located?, today
498,Acne,Acne: where is your acne located?, in last week
499,Acne,Acne: where is your acne located?, in last month
500,Acne,Acne: where is your acne located?, 1-3 months
501,Acne,Acne: where is your acne located?, over 3 months
502,Acne,Acne: are your periods irregular?, Forehead
503,Acne,Acne: are your periods irregular?, face
504,Acne,Acne: are your periods irregular?, neck
505,Acne,Acne: are your periods irregular?, chest
506,Acne,Acne: are your periods irregular?, back
507,Acne,Acne: are your periods irregular?, whole body
508,Acne,Acne: do you have rash anywhere in your body?, yes
509,Acne,Acne: do you have rash anywhere in your body?, no
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
561,Anal pain,Anal pain: when did it start?,Anal pain
562,Anal pain,Anal pain: did any of these trigger your anal pain?, today
563,Anal pain,Anal pain: did any of these trigger your anal pain?, in last week
564,Anal pain,Anal pain: did any of these trigger your anal pain?, in last month
565,Anal pain,Anal pain: did any of these trigger your anal pain?, 1-3 months
566,Anal pain,Anal pain: did any of these trigger your anal pain?, over 3 months
567,Anal pain,Anal pain: how severe would you say it is?, going to the bathroom
568,Anal pain,Anal pain: how severe would you say it is?, intercourse
569,Anal pain,Anal pain: how severe would you say it is?, recent surgery
570,Anal pain,Anal pain: how severe would you say it is?, recent injury
571,Anal pain,Anal pain: how severe would you say it is?, none of these
572,Anal pain,"Anal pain: is it getting better, worse, the same, i am not sure  ", mild
573,Anal pain,"Anal pain: is it getting better, worse, the same, i am not sure  ", severe
574,Anal pain,"Anal pain: is it getting better, worse, the same, i am not sure  ", it wakes me at night
575,Anal pain,"Anal pain: is it getting better, worse, the same, i am not sure  ", i am not sure
576,Anal pain,Anal pain: is there blood in your stool?, improving
577,Anal pain,Anal pain: is there blood in your stool?, worsening
578,Anal pain,Anal pain: is there blood in your stool?, the same
579,Anal pain,Anal pain: is there blood in your stool?, i am not sure 
580,Anal pain,Anal pain: do you have swelling aorund your anus?, yes
581,Anal pain,Anal pain: do you have swelling aorund your anus?,no
582,Anal pain,Anal pain: are you constipated?, yes
583,Anal pain,Anal pain: are you constipated?,no 
584,Anal pain,Anal pain: did any of these trigger your constipation?, yes
585,Anal pain,Anal pain: did any of these trigger your constipation?,no
586,Anal pain,Anal pain: how constipated are you?, pregnancy
587,Anal pain,Anal pain: how constipated are you?, recent injury
588,Anal pain,Anal pain: how constipated are you?, recent surgery
589,Anal pain,Anal pain: how constipated are you?, none of these  
590,Anal pain,Anal pain: do you have pain on defecation?, mild
591,Anal pain,Anal pain: do you have pain on defecation?, severe
592,Anal pain,Anal pain: do you have pain on defecation?, i am not sure
593,Anal pain,Anal pain: have you been diagnosed with ischemic heart disease?, yes
594,Anal pain,Anal pain: have you been diagnosed with ischemic heart disease?, no
,,,
,,,
,,,
,,,
,,,
600,Anal pain,Anal pain: is the skin over your joint is red?, diarrhea
601,Anal pain,Anal pain: is the skin over your joint is red?, weight loss
602,Anal pain,Anal pain: is the skin over your joint is red?, joint pain
603,Anal pain,Anal pain: are your joints unusually stiff in the morning?, yes
604,Anal pain,Anal pain: are your joints unusually stiff in the morning?, no
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
624,Anhedonia ,"Anhedonia : is it getting better, worse, or staying the same?",Anhedonia 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
747,Anxiety,"Anxiety: is it getting better, worse or staying the same? ", somewhat anxious
748,Anxiety,"Anxiety: is it getting better, worse or staying the same? ", very anxious
749,Anxiety,"Anxiety: is it getting better, worse or staying the same? ", i can't sleep at night
750,Anxiety,"Anxiety: is it getting better, worse or staying the same? ", i am not sure   
819,Anxiety,"Anxiety: do you have pain, pressure or discomfort in your chest?", yes
820,Anxiety,"Anxiety: do you have pain, pressure or discomfort in your chest?", no
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1071,Arm pain,"Arm pain: is it getting better, worse or staying the same?", over time
1072,Arm pain,"Arm pain: is it getting better, worse or staying the same?", suddenly
1073,Arm pain,"Arm pain: is it getting better, worse or staying the same?", i am not sure  
1074,Arm pain,"Arm pain: do you get the sensation of numbness, tingling, or prickling in your hands? ", improving
1075,Arm pain,"Arm pain: do you get the sensation of numbness, tingling, or prickling in your hands? ", worsening
1076,Arm pain,"Arm pain: do you get the sensation of numbness, tingling, or prickling in your hands? ", the same
1077,Arm pain,"Arm pain: do you get the sensation of numbness, tingling, or prickling in your hands? ", i am not sure  
,,,
,,,
,,,
,,,
1191,Arm swelling ,Arm swelling : when did it start?,Arm swelling 
1192,Arm swelling ,Arm swelling : when do you notice the swelling?, today
1193,Arm swelling ,Arm swelling : when do you notice the swelling?, last week
1194,Arm swelling ,Arm swelling : when do you notice the swelling?, last month
1195,Arm swelling ,Arm swelling : when do you notice the swelling?, 1-3 months ago
1196,Arm swelling ,Arm swelling : when do you notice the swelling?, over 3 months ago
1197,Arm swelling ,Arm swelling : is one arm swollen or are both?,  forearm
1198,Arm swelling ,Arm swelling : is one arm swollen or are both?, wrist
1199,Arm swelling ,Arm swelling : is one arm swollen or are both?, entire hand
1200,Arm swelling ,Arm swelling : is one arm swollen or are both?, fingers
1201,Arm swelling ,Arm swelling : is one arm swollen or are both?, none of these  
1202,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?, one both
1203,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?, both arm
1204,Arm swelling ,Arm swelling : did any of these trigger your arm swelling?, i am not sure  
1205,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ", insect bite
1206,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ", recent injury
1207,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ", recent injury
1208,Arm swelling ,"Arm swelling : is it getting better, worse, or staying the same? ", none of these  
1209,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ", improving
1210,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ", worsening
1211,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ", the same
1212,Arm swelling ,"Arm swelling : is your leg or any part of leg swollen, puffy or enlarged? ", i am not sure  
1213,Arm swelling ,"Arm swelling : are either of your calves swollen, puffy or enlarged? ", yes
1214,Arm swelling ,"Arm swelling : are either of your calves swollen, puffy or enlarged? ", no 
1215,Arm swelling ,Arm swelling : do you have pain in your calf? , yes
1216,Arm swelling ,Arm swelling : do you have pain in your calf? , no  
1217,Arm swelling ,Arm swelling : where does it hurt? , yes
1218,Arm swelling ,Arm swelling : where does it hurt? , no 
1219,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , front of the calf
1220,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , top of the calf
1221,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , bottom of calf
1222,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , back of calf
1223,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , side of calf
1224,Arm swelling ,Arm swelling : does one calf hurt or do both hurt? , none of these 
1225,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? , one calf
1226,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? , both calfs
1227,Arm swelling ,Arm swelling : could any of these have triggered your symptoms? , i am not sure  
1228,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? , recent travel
1229,Arm swelling ,Arm swelling : do any of these activities make your calf pain worse? , pregnancy
