,SYMPTOM INPUTS,QUESTIONS ASKED,OPTIONS GIVEN
0,Abdominal pain,Abdominal pain: when did it start?  ,Abdominal pain
1,Abdominal pain,Abdominal pain: select the area you feel pain using diagram,today
2,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, in the last week
3,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, in last month
4,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, 1-3 month ago
5,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, over 3 months ago
6,Abdominal pain,Abdominal pain: select the area you feel pain using diagram, year ago
7,Abdominal pain,Abdominal pain: which side is bothering you?, point at diagram
8,Abdominal pain,Abdominal pain: what makes it worse?, right
9,Abdominal pain,Abdominal pain: what makes it worse?, left
10,Abdominal pain,Abdominal pain: what makes it worse?, both sides
11,Abdominal pain,Abdominal pain: what makes it worse?, i am not sure
12,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, changing position
13,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, cough
14,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, eating
15,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, deep breathing
16,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,  exposure to cold
17,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, going to bathroom
18,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, hunger
19,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, lying down
20,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, physical activity
21,Abdominal pain,Abdominal pain: do you think any of these triggers pain?,pressing on area
22,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, sitting down
23,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, standing
24,Abdominal pain,Abdominal pain: do you think any of these triggers pain?, walking
25,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, dairy intake
26,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, eating suspect food
27,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, going to bathroom
28,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, intercourse
29,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, possible food allergy
30,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, recent childbirth
31,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, recent surgery
32,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, recent injury
33,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, eating gluten
34,Abdominal pain,Abdominal pain: how uncomfortable do you feel?, none of above
35,Abdominal pain,Abdominal pain: do any of these describe it?, fairly mild
36,Abdominal pain,Abdominal pain: do any of these describe it?, intense
37,Abdominal pain,Abdominal pain: do any of these describe it?, wakes me at night
38,Abdominal pain,Abdominal pain: do any of these describe it?, not sure
39,Abdominal pain,Abdominal pain: do any of these relieve your pain?,  beltlike
40,Abdominal pain,Abdominal pain: do any of these relieve your pain?, burning
41,Abdominal pain,Abdominal pain: do any of these relieve your pain?, colicky
42,Abdominal pain,Abdominal pain: do any of these relieve your pain?, crampy
43,Abdominal pain,Abdominal pain: do any of these relieve your pain?, pinpoint
44,Abdominal pain,Abdominal pain: do any of these relieve your pain?, sharp
45,Abdominal pain,Abdominal pain: do any of these relieve your pain?, stabbing
46,Abdominal pain,Abdominal pain: do any of these relieve your pain?, vague
47,Abdominal pain,Abdominal pain: do any of these relieve your pain?, none of these 
48,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, drinking fluids
49,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, eating
50,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, eliminating dairy product
51,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, going to bathroom
52,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, lying down
53,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, resting
54,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, stretching
55,Abdominal pain,Abdominal pain: does your pain moves to any of these area?, none of these
56,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, chest
57,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, back
58,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, groin
59,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, legs
60,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, thigh
61,Abdominal pain,Abdominal pain: did it start gradually or suddenly?, none of these
62,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?, suddenly
63,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?, gradually
64,Abdominal pain,Abdominal pain: Can youthink of another related symptoms?, not sure
65,Abdominal pain,Abdominal pain: Are your stools loose or watery?, yes
66,Abdominal pain,Abdominal pain: Are your stools loose or watery?, no
67,Abdominal pain,Abdominal pain: How constipated are you?, yes
68,Abdominal pain,Abdominal pain: How constipated are you?, no
69,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?,  mild
70,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?, severe
71,Abdominal pain,Abdominal pain: Do you have burning sensation or pain after peeing?, not sure
72,Abdominal pain,Abdominal pain: Do you have abdominal surgery in past?, yes
73,Abdominal pain,Abdominal pain: Do you have abdominal surgery in past?, no
74,Abdominal pain,Abdominal pain: are you more gassy than usual?, yes
75,Abdominal pain,Abdominal pain: are you more gassy than usual?, no
76,Abdominal pain,"Abdominal pain: does you abdomen feels bloated, swollen or large than usual?", yes
77,Abdominal pain,"Abdominal pain: does you abdomen feels bloated, swollen or large than usual?", no
78,Abdominal pain,Abdominal pain: have you been diagnosed with type  diabetes?, yes
79,Abdominal pain,Abdominal pain: have you been diagnosed with type  diabetes?, no
80,Abdominal pain,Abdominal pain: are you experiencing any of these symptoms?, yes
81,Abdominal pain,Abdominal pain: are you experiencing any of these symptoms?, no
82,Abdominal pain,Abdominal pain: are you experiencing any of symptoms?, nausea
83,Abdominal pain,Abdominal pain: are you experiencing any of symptoms?, heartburn
84,Abdominal pain,Abdominal pain: are you experiencing any of symptoms?, weight loss none of above
85,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms), decreased apetite
86,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms), blood in stool
87,Abdominal pain,Abdominal pain: is there anything else you can share?(symptoms), vomiting
0,Abdominal redness,Abdominal redness: when did it start?  ,Abdominal redness
1,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, Today
2,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, in the last week
3,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, in last month
4,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, 1-3 month ago
5,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, over 3 months ago
6,Abdominal redness,Abdominal redness: Can you think of another related symptoms?, year ago
7,Abdominal redness,Abdominal redness: Do have pain or discomfort in your abdomen?, yes
8,Abdominal redness,Abdominal redness: Do have pain or discomfort in your abdomen?, no
9,Abdominal redness,Abdominal redness: Select the area where you feel pain in the diagram, yes
10,Abdominal redness,Abdominal redness: Select the area where you feel pain in the diagram, no
11,Abdominal redness,Abdominal redness: which side is bothering you?, point at diagram
12,Abdominal redness,Abdominal redness: What makes it worse?  ,  right
13,Abdominal redness,Abdominal redness: What makes it worse?  , left
14,Abdominal redness,Abdominal redness: What makes it worse?  , both sides
15,Abdominal redness,Abdominal redness: What makes it worse?  , i am not sure
16,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, changing position
17,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, cough
18,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, eating
19,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, deep breathing
20,Abdominal redness,Abdominal redness: how uncomfortable do you feel?, 
21,Abdominal redness,Abdominal redness: do you think any of these triggers pain?,   exposure to cold
22,Abdominal redness,Abdominal redness: do you think any of these triggers pain?, going to bathroom
23,Abdominal redness,Abdominal redness: do you think any of these triggers pain?, hunger
24,Abdominal redness,Abdominal redness: do you think any of these triggers pain?, lying down
25,Abdominal redness,Abdominal redness: do you think any of these triggers pain?,
26,Abdominal redness,Abdominal redness: Are your stools loose or watery?,   physical activity
27,Abdominal redness,Abdominal redness: Are your stools loose or watery?,pressing on area
28,Abdominal redness,Abdominal redness: Are your stools loose or watery?, sitting down
29,Abdominal redness,Abdominal redness: Are your stools loose or watery?, standing
30,Abdominal redness,Abdominal redness: Are your stools loose or watery?,
31,Abdominal redness,Abdominal redness: do any of these describe your diarrhea?,   walking
32,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?, fairly mild
33,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?, intense
34,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?, wakes me at night
35,Abdominal redness,Abdominal redness: did any of these cause your diarrhea?, not sure
36,Abdominal redness,Abdominal redness: Are you constipated?, dairy intake
37,Abdominal redness,Abdominal redness: Are you constipated?, eating suspect food
38,Abdominal redness,Abdominal redness: Are you constipated?, going to bathroom
39,Abdominal redness,Abdominal redness: Are you constipated?, 
40,Abdominal redness,Abdominal redness: Burning or painful urination?,   intercourse
41,Abdominal redness,Abdominal redness: Burning or painful urination?, possible food allergy
42,Abdominal redness,Abdominal redness: Burning or painful urination?, recent childbirth
43,Abdominal redness,Abdominal redness: Burning or painful urination?, 
44,Abdominal redness,Abdominal redness: how severe would you say it is?,   recent surgery
45,Abdominal redness,Abdominal redness: how severe would you say it is?, recent injury
46,Abdominal redness,Abdominal redness: how severe would you say it is?, eating gluten
47,Abdominal redness,Abdominal redness: how severe would you say it is?, none of above
48,Abdominal redness,"Abdominal redness: is it getting better, worse, or staying the same?", yes 
49,Abdominal redness,"Abdominal redness: is it getting better, worse, or staying the same?", no
50,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?,  bloody
51,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?, smelly
52,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?, watery
53,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?, none of these
54,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?, diary intake
55,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?, eating
56,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?, eating suspect food
57,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?, emotional stress
58,Abdominal redness,Abdominal redness: are you currently experiencing any of the following symptoms?,
59,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?,    possible food allergy
60,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, recent surgery
61,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, eating gluten
62,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, none of these
63,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, Yes
64,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, no
65,Abdominal redness,Abdominal redness: Do you smoke?, yes
66,Abdominal redness,Abdominal redness: Do you smoke?, no
67,Abdominal redness,Abdominal redness: are you currently experiencing any of following?,  mild
68,Abdominal redness,Abdominal redness: are you currently experiencing any of following?, severe
69,Abdominal redness,Abdominal redness: are you currently experiencing any of following?, not sure
70,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?,  improving
71,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, worsening
72,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, the same
73,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, not sure
74,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, rash
75,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, itchy skin
76,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, lip swelling
77,Abdominal redness,Abdominal redness: are you currently experiencing any of the following?, non of these
78,Abdominal redness,Abdominal redness:, teary or watery eyes
79,Abdominal redness,Abdominal redness:, fever
80,Abdominal redness,Abdominal redness:, runny nose
81,Abdominal redness,Abdominal redness:, none of these
82,Abdominal redness,Abdominal redness:, groin pain
83,Abdominal redness,Abdominal redness:, groin swelling
84,Abdominal redness,Abdominal redness:, vomoting
85,Abdominal redness,Abdominal redness:, none of these
86,Abdominal redness,Abdominal redness:, Abdominal swelling
87,Abdominal redness,Abdominal redness:, nausea
88,Abdominal redness,Abdominal redness:, none of above
89,Abdominal redness,Abdominal redness:, yes
90,Abdominal redness,Abdominal redness:, no
91,Abdominal redness,Abdominal redness:, i used to but i quit
92,Abdominal redness,Abdominal redness:,  leg redness
93,Abdominal redness,Abdominal redness:, skin lesions
94,Abdominal redness,Abdominal redness:, foot swelling
95,Abdominal redness,Abdominal redness:, none of these
96,Abdominal redness,Abdominal redness:,  warm skin
97,Abdominal redness,Abdominal redness:, insect bite
98,Abdominal redness,Abdominal redness:, calf swelling
99,Abdominal redness,Abdominal redness:, none of these
100,Abdominal redness,Abdominal redness:, 
0,Abdominal swelling ,Abdominal swelling : when did it start? ,Abdominal swelling 
1,Abdominal swelling ,Abdominal swelling : Where do you notice the swelling?, today
2,Abdominal swelling ,Abdominal swelling : Where do you notice the swelling?, in the last week
3,Abdominal swelling ,Abdominal swelling : Where do you notice the swelling?, in last month
4,Abdominal swelling ,Abdominal swelling : Where do you notice the swelling?, 1-3 month ago
5,Abdominal swelling ,Abdominal swelling : Where do you notice the swelling?, over 3 months ago
6,Abdominal swelling ,Abdominal swelling : Where do you notice the swelling?, year ago
7,Abdominal swelling ,Abdominal swelling : did any of these trigger your abdominal swelling?, Abdomen
8,Abdominal swelling ,Abdominal swelling : did any of these trigger your abdominal swelling?, epigastric
9,Abdominal swelling ,Abdominal swelling : did any of these trigger your abdominal swelling?, upper abdomen
10,Abdominal swelling ,Abdominal swelling : did any of these trigger your abdominal swelling?, lower abdomen
11,Abdominal swelling ,Abdominal swelling : did any of these trigger your abdominal swelling?, none of these
12,Abdominal swelling ,Abdominal swelling : Do any of these make it better?, dairy intake
13,Abdominal swelling ,Abdominal swelling : Do any of these make it better?, eating suspect food
14,Abdominal swelling ,Abdominal swelling : Do any of these make it better?, going to the bathroom
15,Abdominal swelling ,Abdominal swelling : Do any of these make it better?, Eating gluten
16,Abdominal swelling ,Abdominal swelling : Do any of these make it better?, none of above
17,Abdominal swelling ,Abdominal swelling : how severe is your swelling?, eating
18,Abdominal swelling ,Abdominal swelling : how severe is your swelling?, eliminating dairy products
19,Abdominal swelling ,Abdominal swelling : how severe is your swelling?, going to the bathroom
20,Abdominal swelling ,Abdominal swelling : how severe is your swelling?, none of these
21,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/", Mild
22,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/", severe
23,Abdominal swelling ,"Abdominal swelling : If you are sexually active, have you recently engaged in unprotected sexual intercourse/", I am not sure
24,Abdominal swelling ,Abdominal swelling : Are your stools loose or watery?, Yes
25,Abdominal swelling ,Abdominal swelling : Are your stools loose or watery?, no
26,Abdominal swelling ,Abdominal swelling : Do any of these describe it?, yes
27,Abdominal swelling ,Abdominal swelling : Do any of these describe it?, no
28,Abdominal swelling ,Abdominal swelling : Did any of these cause your diarrhea?, Bloody
29,Abdominal swelling ,Abdominal swelling : Did any of these cause your diarrhea?, smelly
30,Abdominal swelling ,Abdominal swelling : Did any of these cause your diarrhea?, watery
31,Abdominal swelling ,Abdominal swelling : Did any of these cause your diarrhea?, none of these
32,Abdominal swelling ,Abdominal swelling : do any of these make your diarrhea worse?, Dairy intake
33,Abdominal swelling ,Abdominal swelling : do any of these make your diarrhea worse?, eating
34,Abdominal swelling ,Abdominal swelling : do any of these make your diarrhea worse?, eating suspect food
35,Abdominal swelling ,Abdominal swelling : do any of these make your diarrhea worse?, emotional stress
36,Abdominal swelling ,Abdominal swelling : do any of these make your diarrhea worse?, possible food allergy
37,Abdominal swelling ,Abdominal swelling : do any of these make your diarrhea worse?, recent surgery
38,Abdominal swelling ,Abdominal swelling : do any of these make your diarrhea worse?, eating gluten
39,Abdominal swelling ,Abdominal swelling : how severe would you say it is?, Dairy intake
40,Abdominal swelling ,Abdominal swelling : how severe would you say it is?, eating
41,Abdominal swelling ,Abdominal swelling : how severe would you say it is?, emotional stress
42,Abdominal swelling ,Abdominal swelling : how severe would you say it is?, none of these
43,Abdominal swelling ,Abdominal swelling : Is it better if you avoid milk?, Mild
44,Abdominal swelling ,Abdominal swelling : Is it better if you avoid milk?, severe
45,Abdominal swelling ,Abdominal swelling : Is it better if you avoid milk?, none of these
46,Abdominal swelling ,Abdominal swelling : do you have pain or discomfort in your abdomen?, yes
47,Abdominal swelling ,Abdominal swelling : do you have pain or discomfort in your abdomen?, no
48,Abdominal swelling ,Abdominal swelling : select the area where you feel pain in the diagram , yes
49,Abdominal swelling ,Abdominal swelling : select the area where you feel pain in the diagram , no
50,Abdominal swelling ,Abdominal swelling : which side is bothering you?, point the diagram
51,Abdominal swelling ,Abdominal swelling : Are you constipated?, right
52,Abdominal swelling ,Abdominal swelling : Are you constipated?, left
53,Abdominal swelling ,Abdominal swelling : Are you constipated?, both sides
54,Abdominal swelling ,Abdominal swelling : Are you constipated?, i am not sure
55,Abdominal swelling ,Abdominal swelling : do you have burning sensation or pain during or after peeing?, yes
56,Abdominal swelling ,Abdominal swelling : do you have burning sensation or pain during or after peeing?, no
57,Abdominal swelling ,Abdominal swelling : did you have abdominal surgery in the past?, yes
58,Abdominal swelling ,Abdominal swelling : did you have abdominal surgery in the past?, no
59,Abdominal swelling ,Abdominal swelling : are you currently experiencing any of the following Symptoms?, yes
60,Abdominal swelling ,Abdominal swelling : are you currently experiencing any of the following Symptoms?, no
61,Abdominal swelling ,Abdominal swelling : are you currently experiencing ant of these symptoms?, vomiting
62,Abdominal swelling ,Abdominal swelling : are you currently experiencing ant of these symptoms?, fever
63,Abdominal swelling ,Abdominal swelling : are you currently experiencing ant of these symptoms?, decreased appetite
64,Abdominal swelling ,Abdominal swelling : are you currently experiencing ant of these symptoms?, none of these
65,Abdominal swelling ,Abdominal swelling : are you currently experiencing any of these symptoms?, nausea
66,Abdominal swelling ,Abdominal swelling : are you currently experiencing any of these symptoms?, heartburn
67,Abdominal swelling ,Abdominal swelling : are you currently experiencing any of these symptoms?, fatigue
68,Abdominal swelling ,Abdominal swelling : do you have the chills?, confusion
69,Abdominal swelling ,Abdominal swelling : do you have the chills?, flatulence
70,Abdominal swelling ,Abdominal swelling : do you have the chills?, shortness of breath
71,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, yes
72,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, no
73,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, pale skin
74,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, blurry vision
75,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, blood in stool
76,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, groin pain
77,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, groin swelling
78,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, none of these
79,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, Loss of consciousness
80,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, white tongue
81,Abdominal swelling ,Abdominal swelling : are you experiencing any of these?, jaundice
